2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -477, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -492, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -786, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -111, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -532, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -96, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -322, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,029 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -194, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -173, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -210, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -158, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -138, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -183, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -753, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -268, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -364, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -162, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -110, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -166, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,030 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -129, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -460, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -78, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -304, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -130, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -329, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -271, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -374, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -478, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -587, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,031 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -464, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -309, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -77, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -171, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -536, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -152, soft0Score: 20681, soft1Score: -8119
2014-10-06 10:17:45,032 [SwingWorker-pool-3-thread-3] DEBUG hardScore: -431, soft0Score: 20681, soft1Score: -8119
